CATEGORIA;PRODUCTS;Pto fusión [°F];Cp sobre pto cong. [Btu/lb°F];Cp debajo pto cong. [Btu/lb°F];Latente [Btu/lb];0;5,00 ;10;15;20
vegetales;Acelga, col;30,6;0,96;0,44;130;1985;3970,00 ;5955,00 ;7940,00 ;9925
vegetales;Ajo;30,6;0,76;0,52;84;3176;5508,38 ;7840,75 ;10173,13 ;12505,5
vegetales;Alcachofa;29,8;0,93;0,48;122;5359,5;11463,38 ;17567,25 ;23671,13 ;29775
vegetales;Apio;31,1;0,97;0,42136;136;1588;4664,75 ;7741,50 ;10818,25 ;13895
vegetales;Apio nabo;30,4;0,93;0,45;126;0;0;0;0;0
vegetales;Arracacha;30,4;0,89;0,48;114;0;0;0;0;0
vegetales;Berenjena;30,6;0,96;0,44;132;9528;9528;9528;9528;9528
vegetales;Berro;31,5;0,97;0,4;137;5756,5;5756,5;43670;43670;43670
vegetales;Brócoli;30,9;0,96;0,43;130;4764;26996,00 ;49228,00 ;71460;71460,00 
vegetales;Calabacín;31,1;0,97;0,42;135;0;0;0;0;0
vegetales;Calabaza;30,6;0,95;0,43;132;0;0;0;0;0
vegetales;Cebolla;30,4;0,94;0,45;129;1985;3970,00 ;5955,00 ;7940,00 ;9925
vegetales;Champiñón (setas);30,4;0,95;0,44;132;9925;20445,50 ;30966,00 ;41486,50 ;52007
vegetales;Col Bruselas ;30,6;0,93;0,46;123;6352;14391,25 ;22430,50 ;30469,75 ;38509
vegetales;Col rizado;31,1;0,91;0,44;121;2699,6;5994,70 ;9289,80 ;12584,90 ;15880
vegetales;Coliflor;30,6;0,96;0,44;132;0;0;0;0;0
vegetales;Colinabo;30;0,94;0,46;129;0;0;0;0;0
vegetales;Colirábano;30,2;0,96;0,45;131;2183,5;3970,00 ;5756,50 ;7543,00 ;9329,5
vegetales;Endivia;31,8;0,97;0,4;135;0;0;0;0;0
vegetales;Esparragos;30,9;0,96;0,43;133;13101;19254,50 ;25408,00 ;31561,50 ;37715
vegetales;Espinaca;31,5;0,96;0,42;132;6749;20743,25 ;34737,50 ;48731,75 ;62726
vegetales;Frijoles;30,7;0,95;0,44;130;0;0;0;0;0
vegetales;Gengibre;;0,9;0,46;117;0;0;0;0;0
vegetales;Guisante;30,9;0,9;0,47;113;8535,5;19601,88 ;30668,25 ;41734,63 ;52801
vegetales;Lechuga;31,6;0,98;0,39;138;0;0;0;0;0
vegetales;Maiz (dulce, amarillo);30,9;0,86;0,47;109;11116;25209,50 ;39303,00 ;53396,50 ;67490
vegetales;Nabo;30;0,96;0,45;132;1865,9;2689,68 ;3513,45 ;4337,23 ;5161
vegetales;Ñame;;0,83;0,49;100;0;0;0;0;0
vegetales;Papa;30,9;0,88;0,46;113;2779;4565,50 ;6352,00 ;8138,50 ;9925
vegetales;Pepino;31,1;0,98;0,41;138;0;0;0;0;0
vegetales;Perejil;30;0,94;0,46;126;0;0;0;0;0
vegetales;Pimienta dulce,verde;30,7;0,96;0,43;132;0;0;0;0;0
vegetales;Puerro;30,7;0,9;0,46;119;4367;14391,25 ;24415,50 ;34439,75 ;44464
vegetales;Quimbombó,angu;28,8;0,95;0,49;129;0;0;0;0;0
vegetales;Rábano;30,7;0,97;0,42;136;2183,5;5309,88 ;8436,25 ;11562,63 ;14689
vegetales;Rábano picante;28,8;0,88;0,51;113;0;0;0;0;0
vegetales;Remolacha;30;0,93;0,46;126;1588;5558,00 ;9528,00 ;13498,00 ;17468
vegetales;Repollo;30,4;0,96;0,44;132;0;0;0;0;0
vegetales;Ruibarbo;30,4;0,97;0,44;135;0;0;0;0;0
vegetales;Salsifíe;30;0,87;0,49;110;0;0;0;0;0
vegetales;Tomate maduro;31,1;0,97;0,43;135;3374,5;3374,5;3374,5;3374,5;8337
vegetales;Tomate verde;30,9;0,96;0,42;134;5955;5955;5955;5955;8932,5
vegetales;Zanahoria;29,5;0,94;0,48;126;4208,2;9607,40 ;15006,60 ;20405,80 ;25805
frutas;Aceitunas;29,5;0,9;0,49;115;8609;8609;8609;8609;8609,00 
frutas;Aguacate;31,5;0,88;0,47;107;34581;34581;34581;34581;34581,00 
frutas;Albaricoque;30;0,92;0,47;124;1261;1261;1982;1982;1982
frutas;Arándano rojo;30,4;0,93;0,46;124;1008;1008;1008;1008;1008
frutas;Arándanos azules;29,1;0,91;0,49;122;2702;2702;2702;2702;2702
frutas;Banano;30,6;0,85;0,48;107;9726;9726;9726;9726;9726,00 
frutas;Caqui;28;0,78;0,55;92;2197;2197;2197;2197;2197
frutas;Casaba, Ahuyama;30;0,95;0,45;132;0;0;0;0;0
frutas;Cerezas;28,9;0,92;0,49;124;1189;3098;3098;3098;3098
frutas;Ciruela;30,6;0,91;0,45;123;648;1982;1982;1982;1982
frutas;Ciruela pasa seca;;0,61;0,84;46;0;0;0;0;0
